"","Phylum_Reads","Genus_Reads","Species_Reads","ASV_Reads"
"doubleton_G6_Skin_Fixed_24_A2",78398,78398,78398,78398
"doubleton_G6_Skin_Fixed_24_A3",68208,68208,68208,68208
"doubleton_G6_Skin_Fixed_24_A4",78433,78433,78433,78433
"doubleton_G6_Skin_Fixed_24_B1",35891,35891,35891,35891
"doubleton_G6_Skin_Fixed_24_B2",15783,15783,15783,15783
"doubleton_G6_Skin_Fixed_24_B3",65751,65751,65751,65751
"doubleton_G6_Skin_Fixed_24_B4",82255,82255,82255,82255
"doubleton_G6_Skin_Fixed_24_C1",40645,40645,40645,40645
"doubleton_G6_Skin_Fixed_24_C2",65589,65589,65589,65589
"doubleton_G6_Skin_Fixed_24_C3",71966,71966,71966,71966
"doubleton_G6_Skin_Fixed_24_C4",109694,109694,109694,109694
"doubleton_G6_Skin_Fixed_24_D1",48121,48121,48121,48121
"doubleton_G6_Skin_Fixed_24_D2",71050,71050,71050,71050
"doubleton_G6_Skin_Fixed_24_D3",65182,65182,65182,65182
"doubleton_G6_Skin_Fixed_24_D4",108473,108473,108473,108473
"doubleton_G6_Skin_FL_2500_A1",513,513,513,513
"doubleton_G6_Skin_FL_2500_A2",67702,67702,67702,67702
"doubleton_G6_Skin_FL_2500_A3",310,310,310,310
"doubleton_G6_Skin_FL_2500_A4",69685,69685,69685,69685
"doubleton_G6_Skin_FL_2500_B1",73822,73822,73822,73822
"doubleton_G6_Skin_FL_2500_B2",66244,66244,66244,66244
"doubleton_G6_Skin_FL_2500_B3",93902,93902,93902,93902
"doubleton_G6_Skin_FL_2500_B4",66638,66638,66638,66638
"doubleton_G6_Skin_FL_2500_C1",76934,76934,76934,76934
"doubleton_G6_Skin_FL_2500_C2",65092,65092,65092,65092
"doubleton_G6_Skin_FL_2500_C3",81261,81261,81261,81261
"doubleton_G6_Skin_FL_2500_C4",67516,67516,67516,67516
"doubleton_G6_Skin_FL_2500_D1",58157,58157,58157,58157
"doubleton_G6_Skin_FL_2500_D2",55423,55423,55423,55423
"doubleton_G6_Skin_FL_2500_D3",74945,74945,74945,74945
"doubleton_G6_Skin_FL_2500_D4",65588,65588,65588,65588
"doubleton_G4_Feces_Fixed_24_A2",45369,45369,45369,45369
"doubleton_G4_Feces_Fixed_24_A3",47027,47027,47027,47027
"doubleton_G4_Feces_Fixed_24_A4",37745,37745,37745,37745
"doubleton_G4_Feces_Fixed_24_B1",40297,40297,40297,40297
"doubleton_G4_Feces_Fixed_24_B2",44862,44862,44862,44862
"doubleton_G4_Feces_Fixed_24_B3",52088,52088,52088,52088
"doubleton_G4_Feces_Fixed_24_B4",41388,41388,41388,41388
"doubleton_G4_Feces_Fixed_24_C1",30994,30994,30994,30994
"doubleton_G4_Feces_Fixed_24_C2",48828,48828,48828,48828
"doubleton_G4_Feces_Fixed_24_C3",48536,48536,48536,48536
"doubleton_G4_Feces_Fixed_24_C4",41725,41725,41725,41725
"doubleton_G4_Feces_Fixed_24_D1",26750,26750,26750,26750
